,Year,Gdp
1035,1035,1223.95
1036,1036,1223.92
1037,1037,1223.89
1038,1038,1223.86
1039,1039,1223.83
1040,1040,1223.8
1041,1041,1223.77
1042,1042,1223.74
1043,1043,1223.71
1044,1044,1223.68
1045,1045,1223.65
1046,1046,1223.62
1047,1047,1223.59
1048,1048,1223.56
1049,1049,1223.53
1050,1050,1223.5
1051,1051,1223.47
1052,1052,1223.44
1053,1053,1223.41
1054,1054,1223.38
1055,1055,1223.35
1056,1056,1223.32
1057,1057,1223.29
1058,1058,1223.26
1059,1059,1223.23
1060,1060,1223.2
1061,1061,1223.17
1062,1062,1223.14
1063,1063,1223.11
1064,1064,1223.08
1065,1065,1223.05
1066,1066,1223.02
1067,1067,1222.99
1068,1068,1222.96
1069,1069,1222.93
1070,1070,1222.9
1071,1071,1222.87
1072,1072,1222.84
1073,1073,1222.81
1074,1074,1222.78
1075,1075,1222.75
1076,1076,1222.72
1077,1077,1222.69
1078,1078,1222.66
1079,1079,1222.63
1080,1080,1222.6
1081,1081,1222.57
1082,1082,1222.54
1083,1083,1222.51
1084,1084,1222.48
1085,1085,1222.45
1086,1086,1222.42
1087,1087,1222.39
1088,1088,1222.36
1089,1089,1222.33
1090,1090,1222
1091,1091,1220.63
1092,1092,1219.26
1093,1093,1217.89
1094,1094,1216.52
1095,1095,1215.15
1096,1096,1213.78
1097,1097,1212.41
1098,1098,1211.04
1099,1099,1209.67
1100,1100,1208.3
1101,1101,1206.93
1102,1102,1205.56
1103,1103,1204.19
1104,1104,1202.82
1105,1105,1201.45
1106,1106,1200.08
1107,1107,1198.71
1108,1108,1197.34
1109,1109,1195.97
1110,1110,1194.6
1111,1111,1193.23
1112,1112,1191.86
1113,1113,1190.49
1114,1114,1189.12
1115,1115,1187.75
1116,1116,1186.38
1117,1117,1185.01
1118,1118,1183.64
1119,1119,1182.27
1120,1120,1181
1121,1121,1181.8
1122,1122,1182.6
1123,1123,1183.4
1124,1124,1184.2
1125,1125,1185
1126,1126,1185.8
1127,1127,1186.6
1128,1128,1187.4
1129,1129,1188.2
1130,1130,1189
1131,1131,1189.8
1132,1132,1190.6
1133,1133,1191.4
1134,1134,1192.2
1135,1135,1193
1136,1136,1193.8
1137,1137,1194.6
1138,1138,1195.4
1139,1139,1196.2
1140,1140,1197
1141,1141,1197.8
1142,1142,1198.6
1143,1143,1199.4
1144,1144,1200.2
1145,1145,1201
1146,1146,1201.8
1147,1147,1202.6
1148,1148,1203.4
1149,1149,1204.2
1150,1150,1205
1151,1151,1205.8
1152,1152,1206.6
1153,1153,1207.4
1154,1154,1208.2
1155,1155,1209
1156,1156,1209.8
1157,1157,1210.6
1158,1158,1211.4
1159,1159,1212.2
1160,1160,1213
1161,1161,1213.8
1162,1162,1214.6
1163,1163,1215.4
1164,1164,1216.2
1165,1165,1217
1166,1166,1217.8
1167,1167,1218.6
1168,1168,1219.4
1169,1169,1220.2
1170,1170,1221
1171,1171,1221.8
1172,1172,1222.6
1173,1173,1223.4
1174,1174,1224.2
1175,1175,1225
1176,1176,1225.8
1177,1177,1226.6
1178,1178,1227.4
1179,1179,1228.2
1180,1180,1229
1181,1181,1229.8
1182,1182,1230.6
1183,1183,1231.4
1184,1184,1232.2
1185,1185,1233
1186,1186,1233.8
1187,1187,1234.6
1188,1188,1235.4
1189,1189,1236.2
